"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 23 01:46:49 MSK 2022","Mon May 23 01:46:55 MSK 2022","5891","","tests.LoginPageTest","","tests.LoginPageTest","loginFromResetPasswordPageTest","Check transition from reset password page to login form","Basic ui test for pages transition"
"passed","Mon May 23 01:46:03 MSK 2022","Mon May 23 01:46:08 MSK 2022","5069","","tests.RegistrationPageTest","","tests.RegistrationPageTest","registrationWithInvalidCredentialsTest","Check registration with invalid credentials","Basic ui test for registration"
"passed","Mon May 23 01:46:08 MSK 2022","Mon May 23 01:46:14 MSK 2022","5636","","tests.RegistrationPageTest","","tests.RegistrationPageTest","registrationWithValidCredentialsTest","Check registration with valid credentials","Basic ui test for registration"
"passed","Mon May 23 01:45:57 MSK 2022","Mon May 23 01:46:03 MSK 2022","6345","","tests.ProfilePageTest","","tests.ProfilePageTest","mainPageLoginTest","Check transition to a personal account page by Account button","Basic ui test for pages transition"
"passed","Mon May 23 01:46:14 MSK 2022","Mon May 23 01:46:22 MSK 2022","8450","","tests.ConstructorPageTest","","tests.ConstructorPageTest","constructorLinkTest","Check transition from a personal account to constructor by Constructor button","Basic ui test for pages transition"
"passed","Mon May 23 01:46:37 MSK 2022","Mon May 23 01:46:44 MSK 2022","6361","","tests.LoginPageTest","","tests.LoginPageTest","loginFromRegistrationPageTest","Check transition from registration page to login form","Basic ui test for pages transition"
"passed","Mon May 23 01:46:31 MSK 2022","Mon May 23 01:46:37 MSK 2022","5810","","tests.LoginPageTest","","tests.LoginPageTest","mainPageLoginTest","Check transition from main page to login form","Basic ui test for pages transition"
"passed","Mon May 23 01:45:42 MSK 2022","Mon May 23 01:45:57 MSK 2022","14955","","tests.LogoutTest","","tests.LogoutTest","checkLogoutTest","Check logout by Logout button from personal account page","Basic ui test for pages transition"
"passed","Mon May 23 01:46:44 MSK 2022","Mon May 23 01:46:49 MSK 2022","5668","","tests.LoginPageTest","","tests.LoginPageTest","accountLoginTest","Check transition from main page to login form by account button","Basic ui test for pages transition"
"passed","Mon May 23 01:47:01 MSK 2022","Mon May 23 01:47:07 MSK 2022","5638","","tests.ConstructorSectionsTest","","tests.ConstructorSectionsTest","bunsTest","Check transition from to buns section","Basic ui test for pages transition"
"passed","Mon May 23 01:46:22 MSK 2022","Mon May 23 01:46:31 MSK 2022","9152","","tests.ConstructorPageTest","","tests.ConstructorPageTest","logoTest","Check transition from a personal account to constructor by logo","Basic ui test for pages transition"
"passed","Mon May 23 01:47:07 MSK 2022","Mon May 23 01:47:14 MSK 2022","7355","","tests.ConstructorSectionsTest","","tests.ConstructorSectionsTest","fillingsTest","Check transition from to fillings section","Basic ui test for pages transition"
"passed","Mon May 23 01:46:55 MSK 2022","Mon May 23 01:47:01 MSK 2022","6260","","tests.ConstructorSectionsTest","","tests.ConstructorSectionsTest","saucesTest","Check transition from to sauces section","Basic ui test for pages transition"
